id,name,active,make_id,created_at,updated_at
224,Charade,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
225,Materia,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
226,Sirion,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
227,Terios,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
228,YRV,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
229,Avenger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
23,DB9,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
231,Caliber,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
233,Challenger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
234,Charger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
235,Dakota,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
237,Dart,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
238,Durango,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
244,Nitro,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
245,Ram,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
25,DBS,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
252,Viper,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
253,360,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
256,458,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
259,599,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
26,One 77,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
260,612 Scaglietti,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
261,California,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
263,F12,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
264,F430,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
266,FF,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
267,La Ferrari,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
268,500,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
27,Rapide,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
272,Bravo,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
